発生日,発生時刻,ショット数,射出充填時間[s],指定位置通過時間[s],射出開始位置[mm],V-P切換位置[mm],射出最前進位置[mm],射出終了位置[mm],V-P切換圧[MPa],射出最前進圧[MPa],射出ピーク圧[MPa],指定位置通過圧[MPa],区間平均射出圧[MPa],射出開始圧[MPa],射出ストローク[mm],,所定圧通過位置[mm],,,,,,,,,,,,可塑化時間[s],計量開始位置[mm],計量回転数,計量平均トルク[%],計量減速開始位置[mm],回転停止位置[mm],プレパック距離[mm],プレパック角度[°],,,サイクル時間[s],,ノズル[C],前部[C],中部[C],後部１[C],後部２[C],落下口[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ロットナンバー,ケース出来高,良否コード
"2022/12/14","09:33:38",3683582,0.59,0.00,37.00,5.00,1.43,1.43,51.8,41.6,54.5,0.0,0.0,3.0,35.57,,27.27,,,,,,,,,,,,2.42,4.96,5.12,12.214,35.03,36.74,0.00,0.00,,,8.76,,230.2,229.9,230.2,219.9,215.4,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:33:46",3683583,0.59,0.00,37.00,5.00,1.41,1.41,51.8,41.6,54.6,0.0,0.0,3.0,35.59,,27.60,,,,,,,,,,,,2.43,4.98,5.14,12.219,35.02,36.71,0.00,0.00,,,8.76,,230.0,230.0,230.3,220.0,215.6,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:33:55",3683584,0.59,0.00,37.00,5.00,1.43,1.43,51.9,41.6,54.7,0.0,0.0,3.1,35.57,,27.66,,,,,,,,,,,,2.42,4.96,5.12,12.204,35.01,36.76,0.00,0.00,,,8.76,,230.2,229.9,230.3,220.0,215.5,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:34:04",3683585,0.59,0.00,37.00,5.00,1.43,1.43,51.8,41.6,54.7,0.0,0.0,3.2,35.57,,27.76,,,,,,,,,,,,2.42,4.98,5.13,12.168,35.02,36.71,0.00,0.00,,,8.76,,229.9,229.9,230.3,220.1,215.6,39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:34:13",3683586,0.59,0.00,37.00,5.00,1.45,1.45,51.9,41.6,54.8,0.0,0.0,3.2,35.55,,27.48,,,,,,,,,,,,2.43,5.08,5.14,12.207,35.02,36.77,0.00,0.00,,,8.75,,229.9,229.9,230.3,220.2,215.6,39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:34:21",3683587,0.59,0.00,37.00,5.00,1.41,1.41,51.7,41.6,54.6,0.0,0.0,3.0,35.59,,27.62,,,,,,,,,,,,2.43,5.00,5.14,12.205,35.01,36.72,0.00,0.00,,,8.75,,230.0,229.9,230.4,220.3,215.6,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:34:30",3683588,0.59,0.00,37.00,5.00,1.43,1.43,51.8,41.6,54.7,0.0,0.0,3.1,35.57,,27.60,,,,,,,,,,,,2.44,5.06,5.16,12.213,35.01,36.74,0.00,0.00,,,8.75,,229.8,229.8,230.4,220.3,215.6,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:34:39",3683589,0.59,0.00,37.00,5.00,1.43,1.43,51.9,41.6,54.7,0.0,0.0,3.0,35.57,,27.36,,,,,,,,,,,,2.43,4.98,5.13,12.198,35.01,36.74,0.00,0.00,,,8.75,,230.0,229.9,230.4,220.3,215.7,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:34:48",3683590,0.59,0.00,37.00,5.00,1.47,1.47,52.0,41.5,54.8,0.0,0.0,3.1,35.53,,28.10,,,,,,,,,,,,2.43,4.99,5.15,12.156,35.00,36.74,0.00,0.00,,,8.75,,230.1,229.9,230.4,220.3,215.6,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:37:17",3683591,0.59,0.00,37.00,5.00,0.49,0.50,47.0,41.9,50.0,0.0,0.0,-0.1,36.50,,18.88,,,,,,,,,,,,,,,,,,,,,,,,230.6,230.6,228.4,219.0,213.8,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:37:28",3683592,0.59,0.00,37.00,5.00,0.50,0.50,49.1,41.9,52.0,0.0,0.0,0.1,36.50,,21.88,,,,,,,,,,,,4.62,3.39,10.63,6.841,35.00,35.88,0.00,0.00,,,24.77,,230.7,230.6,228.4,218.9,213.8,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:37:38",3683593,0.59,0.00,37.00,5.00,0.53,0.53,48.6,41.6,51.6,0.0,0.0,0.2,36.47,,21.57,,,,,,,,,,,,3.87,4.07,8.75,7.166,35.01,36.08,0.00,0.00,,,10.33,,230.8,230.5,228.4,218.7,213.7,39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:37:48",3683594,0.59,0.00,37.00,5.00,0.62,0.62,48.1,41.6,50.8,0.0,0.0,0.9,36.38,,21.09,,,,,,,,,,,,3.15,4.16,6.94,7.966,35.00,36.37,0.00,0.00,,,9.54,,230.9,230.6,228.4,218.5,213.5,39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:37:57",3683595,0.59,0.00,37.00,5.00,0.77,0.77,48.4,41.6,51.1,0.0,0.0,1.4,36.23,,21.29,,,,,,,,,,,,2.80,4.24,6.08,8.664,35.02,36.55,0.00,0.00,,,9.15,,230.6,230.6,228.4,218.3,213.5,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:38:06",3683596,0.59,0.00,37.00,5.00,0.88,0.88,48.9,41.6,51.6,0.0,0.0,2.2,36.12,,21.72,,,,,,,,,,,,2.61,4.40,5.60,9.249,35.02,36.69,0.00,0.00,,,8.93,,230.4,230.6,228.4,218.1,213.3,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:38:15",3683597,0.59,0.00,37.00,5.00,1.04,1.04,49.5,41.5,52.1,0.0,0.0,2.7,35.96,,22.46,,,,,,,,,,,,2.45,4.50,5.19,9.797,35.03,36.83,0.00,0.00,,,8.76,,230.3,230.6,228.4,217.8,213.2,39.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:38:23",3683598,0.59,0.00,37.00,5.00,1.16,1.16,50.0,41.5,52.6,0.0,0.0,3.2,35.84,,23.14,,,,,,,,,,,,2.35,4.63,4.94,10.402,35.02,36.89,0.00,0.00,,,8.76,,229.9,230.7,228.4,217.7,213.1,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:38:32",3683599,0.59,0.00,37.00,5.00,1.22,1.22,50.4,41.6,53.1,0.0,0.0,3.5,35.78,,24.00,,,,,,,,,,,,2.29,4.75,4.79,11.070,35.01,36.92,0.00,0.00,,,8.76,,229.9,230.7,228.4,217.6,212.8,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:38:41",3683600,0.59,0.00,37.00,5.00,1.30,1.30,51.0,41.5,53.7,0.0,0.0,3.7,35.70,,25.12,,,,,,,,,,,,2.27,4.79,4.73,11.620,35.02,36.94,0.00,0.00,,,8.76,,229.9,230.6,228.3,217.5,212.5,39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:38:50",3683601,0.59,0.00,37.00,5.00,1.38,1.38,51.5,41.6,54.2,0.0,0.0,3.6,35.62,,26.40,,,,,,,,,,,,2.27,4.85,4.73,11.831,35.02,36.90,0.00,0.00,,,8.76,,229.7,230.6,228.3,217.4,212.4,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:38:58",3683602,0.59,0.00,37.00,5.00,1.37,1.37,51.7,41.6,54.6,0.0,0.0,3.5,35.63,,26.85,,,,,,,,,,,,2.29,4.93,4.79,11.952,35.03,36.85,0.00,0.00,,,8.76,,229.9,230.6,228.3,217.3,212.3,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:39:07",3683603,0.59,0.00,37.00,5.00,1.39,1.39,51.8,41.6,54.7,0.0,0.0,3.5,35.61,,27.07,,,,,,,,,,,,2.29,4.93,4.80,11.951,35.01,36.87,0.00,0.00,,,8.76,,229.9,230.5,228.3,217.3,212.2,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:39:16",3683604,0.59,0.00,37.00,5.00,1.36,1.36,51.8,41.5,54.7,0.0,0.0,3.3,35.64,,27.09,,,,,,,,,,,,2.30,4.95,4.82,11.918,35.03,36.85,0.00,0.00,,,8.76,,230.1,230.4,228.4,217.4,212.3,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","12:39:25",3683605,0.59,0.00,37.00,5.00,1.42,1.42,51.8,41.6,54.7,0.0,0.0,3.3,35.58,,27.59,,,,,,,,,,,,2.31,4.91,4.85,11.930,35.01,36.84,0.00,0.00,,,8.76,,230.1,230.4,228.6,217.5,212.5,39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
